across_flats,availability,category,condition,description,diameter,finish,grade,heat_treatment,height,leg1,leg2,length,material,minimum_order,outer_diameter,part_number,side,specifications,supplier,temper,thickness,unit_price,units,wall_thickness,weight_per_unit,width
,68,Bar Rectangular,Aged,"Titanium Grade 9 Rectangular Bar, 5.524"" x 3.024"" x 84.3"" length",,,Grade 9,,3.024,,,84.3,Titanium Grade 9,1,,TI-Grade 9-BX-5524x3024x84,,,SteelCorp Supply,,,10608.46,inches,,228.76,5.524
,853,Tube Rectangular,,"Aluminum 7075 Tube Rectangular, 7.11"" x 3.347"" x 0.434"" wall",,Mill,7075,,3.347,,,117.5,Aluminum 7075,25,,AL-7075-TX-7110x3347x0434,,,AlumTech Solutions,T3,,450.34,inches,0.434,95.32,7.11
,883,Bar Round,Heat Treated,"Bronze C510 Round Bar, 2.846"" diameter x 77.3"" length",2.846,,C510,,,,,77.3,Bronze C510,5,,BZ-C510-BR-D2846x77,,,MetalMart Industries,,,1321.02,inches,,156.22,
,977,Tube Square,,"Copper 195 Tube Square, 2.273"" x 2.273"" x 0.368"" wall",,,195,,2.273,,,59.6,Copper 195,50,,CU-195-TS-2273x2273x0368,,,AlloyExperts Inc,Half Hard,,870.13,inches,0.368,54.06,2.273
3.135,942,Bar Hex,,"Copper 195 Hexagonal Bar, 3.135"" across flats x 32.8"" length",,,195,,,,,32.8,Copper 195,100,,CU-195-BH-HEX3135x33,,,CopperSource Ltd,Half Hard,,3888.21,inches,,270.9,
,667,Tube Square,Aged,"Titanium Grade 2 Tube Square, 4.912"" x 4.912"" x 0.422"" wall",,,Grade 2,,4.912,,,156.8,Titanium Grade 2,10,,TI-Grade 2-TS-4912x4912x0422,,,BrassWorks LLC,,,16392.21,inches,0.422,193.06,4.912
,135,Beam I,,Stainless Steel 347 Beam I,,Brushed,347,,,,,,Stainless Steel 347,25,,SS-347-BM-554,,,AlloyMasters Corp,,,18.49,inches,,2.89,
,130,Tube Square,Aged,"Titanium Grade 7 Tube Square, 3.839"" x 3.839"" x 0.254"" wall",,,Grade 7,,3.839,,,55.9,Titanium Grade 7,1,,TI-Grade 7-TS-3839x3839x0254,,,MetalWarehouse Co,,,2784.4,inches,0.254,33.08,3.839
,785,Tube Square,Solution Annealed,"Nickel Alloy Monel 400 Tube Square, 3.542"" x 3.542"" x 0.252"" wall",,,Monel 400,,3.542,,,55.2,Nickel Alloy Monel 400,100,,NI-Monel 400-TS-3542x3542x0252,,,MetalCrafters Inc,,,6735.14,inches,0.252,55.51,3.542
,729,Channel,,Carbon Steel 4130 Channel,,Hot Rolled,4130,,,,,,Carbon Steel 4130,1,,CS-4130-CH-816,,,MetalSource Pro,,,5.32,inches,,2.83,
,432,Plate,,"Stainless Steel 420 Plate, 224.24"" x 56.15"" x 3.046"" thick",,2B,420,,,,,224.24,Stainless Steel 420,5,,SS-420-PL-224x56x3046,,,MetalSource Pro,,3.046,51350.96,inches,,11076.18,56.15
,291,Bar Rectangular,,"Alloy Steel A992 Rectangular Bar, 6.158"" x 2.069"" x 60.1"" length",,,A992,Stress Relieved,2.069,,,60.1,Alloy Steel A992,25,,AS-A992-BX-6158x2069x60,,,SteelTech Solutions,,,568.35,inches,,217.0,6.158
,490,Foil,,"Carbon Steel 4130 Foil, 33.9"" wide x 0.0066"" thick x 7897.0 feet",,Hot Rolled,4130,,,,,7897.0,Carbon Steel 4130,10,,CS-4130-FL-866,,,SteelTech Solutions,,0.0066,36845.76,feet,,6008.47,33.9
,129,Beam I,As Cast,Bronze C932 Beam I,,,C932,,,,,,Bronze C932,1,,BZ-C932-BM-251,,,SpecialtyAlloys Ltd,,,40.46,inches,,3.18,
3.469,379,Bar Hex,Solution Treated,"Titanium Grade 1 Hexagonal Bar, 3.469"" across flats x 126.1"" length",,,Grade 1,,,,,126.1,Titanium Grade 1,25,,TI-Grade 1-BH-HEX3469x126,,,MetalMart Industries,,,44554.17,inches,,640.45,
0.425,654,Bar Hex,,"Stainless Steel 304 Hexagonal Bar, 0.425"" across flats x 85.3"" length",,No. 4,304,,,,,85.3,Stainless Steel 304,10,,SS-304-BH-HEX0425x85,,,SteelCorp Supply,,,62.11,inches,,11.56,
,870,Tube Rectangular,Cold Worked,"Nickel Alloy Hastelloy C276 Tube Rectangular, 2.206"" x 4.568"" x 0.457"" wall",,,Hastelloy C276,,4.568,,,73.0,Nickel Alloy Hastelloy C276,100,,NI-Hastelloy C276-TX-2206x4568x0457,,,MetalCrafters Inc,,,12260.98,inches,0.457,118.56,2.206
,917,Channel,,Copper 145 Channel,,,145,,,,,,Copper 145,100,,CU-145-CH-124,,,SteelWorks Express,Hard,,60.61,inches,,3.23,
,845,Tube Round,Work Hardened,"Bronze C220 Round Tube, 11.111"" OD x 0.828"" wall x 119.7"" length",,,C220,,,,,119.7,Bronze C220,5,11.111,BZ-C220-TR-OD11111x0828x120,,,SteelMasters Ltd,,,12319.23,inches,0.828,1017.15,
,97,Sheet,,"Stainless Steel 317 Sheet, 137.25"" x 92.29"" x 0.407"" thick",,Brushed,317,,,,,137.25,Stainless Steel 317,10,,SS-317-SH-137x92x0407,,,PremiumSteel Inc,,0.407,5731.48,inches,,1488.88,92.29
,626,Channel,Cold Worked,Nickel Alloy Inconel 600 Channel,,,Inconel 600,,,,,,Nickel Alloy Inconel 600,1,,NI-Inconel 600-CH-553,,,IndustrialMetals Inc,,,307.19,inches,,3.03,
,729,Plate,,"Carbon Steel 1018 Plate, 157.45"" x 43.3"" x 11.656"" thick",,Galvanized,1018,,,,,157.45,Carbon Steel 1018,5,,CS-1018-PL-157x43x11656,,,AlloyMasters Corp,,11.656,33455.06,inches,,22519.41,43.3
5.394,342,Bar Hex,Work Hardened,"Bronze C510 Hexagonal Bar, 5.394"" across flats x 133.8"" length",,,C510,,,,,133.8,Bronze C510,5,,BZ-C510-BH-HEX5394x134,,,MetalWarehouse Co,,,44252.35,inches,,3212.97,
,240,Sheet,Aged,"Titanium Grade 9 Sheet, 85.36"" x 86.35"" x 0.643"" thick",,,Grade 9,,,,,85.36,Titanium Grade 9,25,,TI-Grade 9-SH-85x86x0643,,,SpecialtyAlloys Ltd,,0.643,35064.89,inches,,769.92,86.35
,496,Angle,Hardened,"Tool Steel S7 Angle, 3.344"" x 3.245"" x 0.18"" thick",,,S7,,,3.344,3.245,223.2,Tool Steel S7,50,,TS-S7-AN-635,,,MetalTech Industries,,0.18,2692.77,inches,,72.5,
,961,Sheet,,"Copper 145 Sheet, 21.18"" x 27.68"" x 1.724"" thick",,,145,,,,,21.18,Copper 145,10,,CU-145-SH-21x28x1724,,,MetalSource Pro,Spring,1.724,2777.26,inches,,326.92,27.68
,558,Channel,Annealed,Tool Steel O1 Channel,,,O1,,,,,,Tool Steel O1,1,,TS-O1-CH-447,,,AlloyMasters Corp,,,85.37,inches,,2.82,
,831,Tube Square,,"Alloy Steel 8620 Tube Square, 2.04"" x 2.04"" x 0.323"" wall",,,8620,Quenched,2.04,,,236.0,Alloy Steel 8620,100,,AS-8620-TS-2040x2040x0323,,,PrecisionMetal Co,,,447.21,inches,0.323,148.36,2.04
,444,Bar Round,,"Brass C464 Round Bar, 1.354"" diameter x 15.7"" length",1.354,,C464,,,,,15.7,Brass C464,1,,BR-C464-BR-D1354x16,,,CopperSource Ltd,H02,,67.64,inches,,6.94,
,553,Wire,,"Copper 110 Wire, 0.1648"" diameter x 7710.0 feet",0.1648,,110,,,,,7710.0,Copper 110,1,,CU-110-WR-220,,,MetalSupply Direct,Hard,,15048.5,feet,,638.34,
,432,Bar Round,,"Aluminum 6061 Round Bar, 4.478"" diameter x 203.0"" length",4.478,Mill,6061,,,,,203.0,Aluminum 6061,1,,AL-6061-BR-D4478x203,,,BrassWorks LLC,H14,,842.52,inches,,311.62,
,175,Foil,Work Hardened,"Bronze C954 Foil, 39.2"" wide x 0.0086"" thick x 6331.0 feet",,,C954,,,,,6331.0,Bronze C954,1,,BZ-C954-FL-266,,,SteelTech Solutions,,0.0086,360277.29,feet,,8136.32,39.2
,522,Bar Rectangular,,"Alloy Steel A572 Rectangular Bar, 2.97"" x 2.359"" x 24.9"" length",,,A572,Annealed,2.359,,,24.9,Alloy Steel A572,25,,AS-A572-BX-2970x2359x25,,,TitaniumPro Inc,,,128.71,inches,,49.44,2.97
,872,Angle,,"Brass C230 Angle, 7.166"" x 2.764"" x 0.51"" thick",,,C230,,,7.166,2.764,34.2,Brass C230,25,,BR-C230-AN-179,,,MetalSupply Direct,O50,0.51,426.69,inches,,50.42,
,783,Foil,,"Carbon Steel 1020 Foil, 13.1"" wide x 0.0072"" thick x 3528.0 feet",,Pickled,1020,,,,,3528.0,Carbon Steel 1020,50,,CS-1020-FL-803,,,MetalSupply Direct,,0.0072,8523.8,feet,,1131.59,13.1
,833,Wire,As Cast,"Bronze C954 Wire, 0.1186"" diameter x 6161.0 feet",0.1186,,C954,,,,,6161.0,Bronze C954,50,,BZ-C954-WR-803,,,SteelWorks Express,,,5367.54,feet,,259.47,
,191,Sheet,,"Copper 195 Sheet, 88.05"" x 82.25"" x 0.318"" thick",,,195,,,,,88.05,Copper 195,10,,CU-195-SH-88x82x0318,,,SpecialtyAlloys Ltd,Soft,0.318,7269.94,inches,,744.92,82.25
,992,Bar Square,Hardened,"Tool Steel S7 Square Bar, 1.78"" x 91.1"" length",,,S7,,,,,91.1,Tool Steel S7,1,,TS-S7-BS-1780x91,1.78,,SpecialtyAlloys Ltd,,,1883.76,inches,,81.28,
,663,Bar Square,Aged,"Titanium Grade 9 Square Bar, 4.716"" x 159.2"" length",,,Grade 9,,,,,159.2,Titanium Grade 9,100,,TI-Grade 9-BS-4716x159,4.716,,BrassWorks LLC,,,38824.11,inches,,575.19,
,836,Plate,Work Hardened,"Bronze C510 Plate, 66.1"" x 85.9"" x 7.716"" thick",,,C510,,,,,66.1,Bronze C510,1,,BZ-C510-PL-66x86x7716,,,SpecialtyAlloys Ltd,,7.716,149188.38,inches,,13918.0,85.9
,868,Foil,Heat Treated,"Bronze C954 Foil, 9.3"" wide x 0.0076"" thick x 5628.0 feet",,,C954,,,,,5628.0,Bronze C954,1,,BZ-C954-FL-185,,,MetalSource Pro,,0.0076,46057.01,feet,,1516.43,9.3
,521,Tube Rectangular,,"Copper 110 Tube Rectangular, 2.556"" x 2.903"" x 0.431"" wall",,,110,,2.903,,,44.4,Copper 110,50,,CU-110-TX-2556x2903x0431,,,MetalCraft Supply,Hard,,1242.83,inches,0.431,56.91,2.556
,922,Bar Square,Annealed,"Titanium Grade 2 Square Bar, 5.65"" x 17.2"" length",,,Grade 2,,,,,17.2,Titanium Grade 2,1,,TI-Grade 2-BS-5650x17,5.65,,PrecisionMetal Co,,,5751.97,inches,,89.2,
,710,Bar Rectangular,,"Alloy Steel 4340 Rectangular Bar, 3.592"" x 1.367"" x 159.1"" length",,,4340,Tempered,1.367,,,159.1,Alloy Steel 4340,1,,AS-4340-BX-3592x1367x159,,,SteelWorks Express,,,611.67,inches,,221.39,3.592
3.752,614,Bar Hex,Solution Treated,"Titanium Grade 5 Hexagonal Bar, 3.752"" across flats x 112.9"" length",,,Grade 5,,,,,112.9,Titanium Grade 5,1,,TI-Grade 5-BH-HEX3752x113,,,MetalDistributors LLC,,,39320.66,inches,,670.78,
,831,Bar Round,Aged,"Titanium Grade 5 Round Bar, 1.832"" diameter x 38.4"" length",1.832,,Grade 5,,,,,38.4,Titanium Grade 5,1,,TI-Grade 5-BR-D1832x38,,,MetalSource Pro,,,901.74,inches,,16.44,
,880,Foil,,"Stainless Steel 317 Foil, 47.5"" wide x 0.0077"" thick x 3110.0 feet",,No. 8,317,,,,,3110.0,Stainless Steel 317,1,,SS-317-FL-450,,,SteelSolutions Pro,,0.0077,82445.18,feet,,3942.06,47.5
,416,Tube Rectangular,Aged,"Nickel Alloy Monel 400 Tube Rectangular, 3.073"" x 2.306"" x 0.353"" wall",,,Monel 400,,2.306,,,85.4,Nickel Alloy Monel 400,1,,NI-Monel 400-TX-3073x2306x0353,,,TitaniumPro Inc,,,11386.88,inches,0.353,85.44,3.073
,617,Plate,Work Hardened,"Bronze C630 Plate, 78.78"" x 83.62"" x 3.954"" thick",,,C630,,,,,78.78,Bronze C630,1,,BZ-C630-PL-79x84x3954,,,SteelSolutions Pro,,3.954,79088.66,inches,,8274.71,83.62
,846,Foil,,"Brass C240 Foil, 29.1"" wide x 0.001"" thick x 498.0 feet",,,C240,,,,,498.0,Brass C240,100,,BR-C240-FL-223,,,AlumTech Solutions,H04,0.001,1896.92,feet,,53.36,29.1
,973,Beam I,,Alloy Steel A572 Beam I,,,A572,Normalized,,,,,Alloy Steel A572,10,,AS-A572-BM-978,,,BrassWorks LLC,,,6.38,inches,,2.83,
,313,Wire,Tempered,"Tool Steel D2 Wire, 0.4209"" diameter x 9026.0 feet",0.4209,,D2,,,,,9026.0,Tool Steel D2,1,,TS-D2-WR-516,,,SteelCorp Supply,,,202389.56,feet,,4243.52,
,350,Tube Round,Aged,"Titanium Grade 5 Round Tube, 3.911"" OD x 0.365"" wall x 13.3"" length",,,Grade 5,,,,,13.3,Titanium Grade 5,100,3.911,TI-Grade 5-TR-OD3911x0365x13,,,PremiumSteel Inc,,,567.73,inches,0.365,8.79,
,846,Tube Rectangular,,"Brass C240 Tube Rectangular, 7.218"" x 3.032"" x 0.264"" wall",,,C240,,3.032,,,112.6,Brass C240,1,,BR-C240-TX-7218x3032x0264,,,AlloyExperts Inc,H01,,2403.0,inches,0.264,177.36,7.218
,974,Bar Square,,"Brass C230 Square Bar, 2.204"" x 128.5"" length",,,C230,,,,,128.5,Brass C230,1,,BR-C230-BS-2204x128,2.204,,SteelCorp Supply,O50,,1827.07,inches,,191.54,
,320,Sheet,,"Alloy Steel 4340 Sheet, 20.44"" x 24.11"" x 1.723"" thick",,,4340,Annealed,,,,20.44,Alloy Steel 4340,100,,AS-4340-SH-20x24x1723,,,TitaniumPro Inc,,1.723,535.08,inches,,240.62,24.11
,702,Channel,Aged,Titanium Grade 1 Channel,,,Grade 1,,,,,,Titanium Grade 1,1,,TI-Grade 1-CH-570,,,SteelCorp Supply,,,115.91,inches,,1.62,
,357,Foil,,"Alloy Steel A572 Foil, 20.3"" wide x 0.0044"" thick x 9291.0 feet",,,A572,Tempered,,,,9291.0,Alloy Steel A572,50,,AS-A572-FL-772,,,AlloyMasters Corp,,0.0044,22935.12,feet,,2822.08,20.3
,575,Channel,,Stainless Steel 420 Channel,,2B,420,,,,,,Stainless Steel 420,10,,SS-420-CH-757,,,SteelWorks Express,,,18.96,inches,,2.89,
,672,Tube Square,,"Stainless Steel 410 Tube Square, 5.23"" x 5.23"" x 0.29"" wall",,No. 4,410,,5.23,,,115.5,Stainless Steel 410,100,,SS-410-TS-5230x5230x0290,,,SteelConnection,,,1211.55,inches,0.29,191.15,5.23
,882,Plate,,"Alloy Steel A36 Plate, 198.56"" x 33.04"" x 3.223"" thick",,,A36,Stress Relieved,,,,198.56,Alloy Steel A36,25,,AS-A36-PL-199x33x3223,,,AluminumDirect,,3.223,9869.53,inches,,5991.96,33.04
,440,Sheet,,"Brass C360 Sheet, 121.23"" x 57.27"" x 1.899"" thick",,,C360,,,,,121.23,Brass C360,10,,BR-C360-SH-121x57x1899,,,AlloySupply Corp,H04,1.899,23554.43,inches,,4045.65,57.27
1.492,978,Bar Hex,,"Stainless Steel 430 Hexagonal Bar, 1.492"" across flats x 97.4"" length",,No. 8,430,,,,,97.4,Stainless Steel 430,50,,SS-430-BH-HEX1492x97,,,MetalSource Pro,,,1092.4,inches,,162.68,
,132,Sheet,Hardened,"Tool Steel O1 Sheet, 96.99"" x 53.42"" x 0.88"" thick",,,O1,,,,,96.99,Tool Steel O1,1,,TS-O1-SH-97x53x0880,,,MetalWarehouse Co,,0.88,22743.17,inches,,1283.85,53.42
,110,Angle,,"Alloy Steel A992 Angle, 3.001"" x 3.912"" x 0.691"" thick",,,A992,Quenched,,3.001,3.912,38.0,Alloy Steel A992,50,,AS-A992-AN-928,,,MetalDistributors LLC,,0.691,145.99,inches,,46.3,
,881,Tube Rectangular,Work Hardened,"Bronze C954 Tube Rectangular, 2.815"" x 2.44"" x 0.426"" wall",,,C954,,2.44,,,217.2,Bronze C954,5,,BZ-C954-TX-2815x2440x0426,,,AlloySupply Corp,,,3929.57,inches,0.426,258.84,2.815
,905,Angle,Work Hardened,"Bronze C220 Angle, 5.19"" x 4.807"" x 0.949"" thick",,,C220,,,5.19,4.807,194.4,Bronze C220,10,,BZ-C220-AN-979,,,MetalCrafters Inc,,0.949,7014.6,inches,,530.28,
,523,Angle,,"Copper 110 Angle, 3.154"" x 2.824"" x 0.344"" thick",,,110,,,3.154,2.824,20.1,Copper 110,1,,CU-110-AN-351,,,BrassWorks LLC,Soft,0.344,234.2,inches,,12.6,
,728,Bar Rectangular,As Cast,"Bronze C510 Rectangular Bar, 6.567"" x 3.752"" x 67.8"" length",,,C510,,3.752,,,67.8,Bronze C510,10,,BZ-C510-BX-6567x3752x68,,,MetalMart Industries,,,5062.3,inches,,530.7,6.567
,677,Foil,,"Alloy Steel 4340 Foil, 36.2"" wide x 0.0096"" thick x 8049.0 feet",,,4340,Tempered,,,,8049.0,Alloy Steel 4340,1,,AS-4340-FL-428,,,MetalDepot Supply,,0.0096,82748.2,feet,,9512.18,36.2
,390,Foil,Solution Treated,"Titanium Grade 12 Foil, 31.1"" wide x 0.006"" thick x 4362.0 feet",,,Grade 12,,,,,4362.0,Titanium Grade 12,1,,TI-Grade 12-FL-265,,,SteelCorp Supply,,0.006,235317.12,feet,,1586.71,31.1
,154,Channel,,Brass C240 Channel,,,C240,,,,,,Brass C240,25,,BR-C240-CH-925,,,SteelSolutions Pro,H02,,41.62,inches,,3.07,
,201,Sheet,,"Stainless Steel 420 Sheet, 37.76"" x 73.01"" x 0.374"" thick",,Polished,420,,,,,37.76,Stainless Steel 420,50,,SS-420-SH-38x73x0374,,,MetalDistributors LLC,,0.374,1195.3,inches,,297.77,73.01
,24,Bar Rectangular,,"Carbon Steel 1045 Rectangular Bar, 7.918"" x 0.258"" x 69.8"" length",,Hot Rolled,1045,,0.258,,,69.8,Carbon Steel 1045,100,,CS-1045-BX-7918x0258x70,,,MetalCrafters Inc,,,64.61,inches,,40.41,7.918
,261,Wire,,"Aluminum 6061 Wire, 0.2389"" diameter x 5178.0 feet",0.2389,Anodized,6061,,,,,5178.0,Aluminum 6061,1,,AL-6061-WR-434,,,AlumTech Solutions,T3,,1037.83,feet,,271.48,
,139,Bar Square,Annealed,"Titanium Grade 7 Square Bar, 3.945"" x 83.2"" length",,,Grade 7,,,,,83.2,Titanium Grade 7,5,,TI-Grade 7-BS-3945x83,3.945,,AluminumDirect,,,12408.52,inches,,210.35,
,528,Angle,Aged,"Nickel Alloy Inconel 718 Angle, 4.074"" x 4.835"" x 0.641"" thick",,,Inconel 718,,,4.074,4.835,174.7,Nickel Alloy Inconel 718,100,,NI-Inconel 718-AN-971,,,MetalSource Pro,,0.641,34474.06,inches,,280.76,
,236,Bar Square,,"Carbon Steel 1008 Square Bar, 2.973"" x 237.6"" length",,Zinc Plated,1008,,,,,237.6,Carbon Steel 1008,1,,CS-1008-BS-2973x238,2.973,,AlumTech Solutions,,,1181.49,inches,,595.13,
,968,Tube Square,,"Carbon Steel 1018 Tube Square, 4.526"" x 4.526"" x 0.121"" wall",,Hot Rolled,1018,,4.526,,,138.4,Carbon Steel 1018,1,,CS-1018-TS-4526x4526x0121,,,MetalSource Pro,,,260.21,inches,0.121,83.62,4.526
,719,Angle,Hardened,"Tool Steel S7 Angle, 7.284"" x 6.441"" x 0.6"" thick",,,S7,,,7.284,6.441,221.8,Tool Steel S7,25,,TS-S7-AN-847,,,MetalSource Pro,,0.6,15805.88,inches,,491.83,
,595,Sheet,,"Carbon Steel 8620 Sheet, 83.85"" x 39.47"" x 0.503"" thick",,Hot Rolled,8620,,,,,83.85,Carbon Steel 8620,25,,CS-8620-SH-84x39x0503,,,PrecisionMetal Co,,0.503,626.24,inches,,471.75,39.47
,376,Bar Rectangular,Cold Worked,"Nickel Alloy Inconel 625 Rectangular Bar, 4.538"" x 1.114"" x 157.5"" length",,,Inconel 625,,1.114,,,157.5,Nickel Alloy Inconel 625,10,,NI-Inconel 625-BX-4538x1114x158,,,MetalWarehouse Co,,,21674.69,inches,,241.44,4.538
,223,Angle,,"Carbon Steel 1010 Angle, 3.423"" x 1.972"" x 0.532"" thick",,Cold Rolled,1010,,,3.423,1.972,170.8,Carbon Steel 1010,50,,CS-1010-AN-444,,,MetalSupply Direct,,0.532,208.19,inches,,125.22,
,276,Bar Round,,"Stainless Steel 304 Round Bar, 5.102"" diameter x 68.5"" length",5.102,No. 4,304,,,,,68.5,Stainless Steel 304,1,,SS-304-BR-D5102x68,,,MetalDepot Supply,,,2512.24,inches,,404.44,
,925,Bar Square,,"Copper 145 Square Bar, 4.904"" x 158.5"" length",,,145,,,,,158.5,Copper 145,5,,CU-145-BS-4904x158,4.904,,PremiumSteel Inc,Soft,,14018.51,inches,,1232.95,
2.106,339,Bar Hex,Heat Treated,"Bronze C510 Hexagonal Bar, 2.106"" across flats x 93.5"" length",,,C510,,,,,93.5,Bronze C510,1,,BZ-C510-BH-HEX2106x94,,,CopperSource Ltd,,,4630.03,inches,,342.26,
,997,Tube Round,,"Copper 110 Round Tube, 3.274"" OD x 0.524"" wall x 226.7"" length",,,110,,,,,226.7,Copper 110,100,3.274,CU-110-TR-OD3274x0524x227,,,CopperSource Ltd,Hard,,5118.52,inches,0.524,331.96,
,925,Angle,Hardened,"Tool Steel M2 Angle, 1.011"" x 5.247"" x 0.598"" thick",,,M2,,,1.011,5.247,104.7,Tool Steel M2,1,,TS-M2-AN-969,,,MetalWarehouse Co,,0.598,2778.08,inches,,99.79,
4.298,692,Bar Hex,,"Alloy Steel A572 Hexagonal Bar, 4.298"" across flats x 131.5"" length",,,A572,Annealed,,,,131.5,Alloy Steel A572,25,,AS-A572-BH-HEX4298x132,,,CopperSource Ltd,,,5038.47,inches,,1788.44,
,108,Foil,Annealed,"Tool Steel A2 Foil, 28.3"" wide x 0.0037"" thick x 4988.0 feet",,,A2,,,,,4988.0,Tool Steel A2,100,,TS-A2-FL-595,,,MetalCrafters Inc,,0.0037,198468.08,feet,,1764.81,28.3
,271,Wire,,"Copper 194 Wire, 0.1623"" diameter x 8571.0 feet",0.1623,,194,,,,,8571.0,Copper 194,5,,CU-194-WR-317,,,SpecialtyAlloys Ltd,Spring,,14869.26,feet,,688.26,
,319,Tube Rectangular,As Cast,"Bronze C220 Tube Rectangular, 1.628"" x 3.317"" x 0.348"" wall",,,C220,,3.317,,,56.8,Bronze C220,25,,BZ-C220-TX-1628x3317x0348,,,SteelTech Solutions,,,886.31,inches,0.348,53.36,1.628
